,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
56,2019,2019,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,29.5,29.5,,,24.4,46.8,113,,,,,,Other,"(34.865970280000454, -111.76381127699972)",PA,PA1,Q043,VALUE,4,Race/Ethnicity,Other,RACE,RACEOTH
57,2017,2017,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,45.5,45.5,,,45.3,46,1485,,,,,"$75,000 or greater",,"(38.890371385, -77.031961127)",FV,FV1,Q019,VALUE,11,Income,"$75,000 or greater",INC,INC75PLUS
58,2018,2018,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,39.4,39.4,,,26.2,40.1,3958,,,,,,Non-Hispanic White,"(43.23554134300048, -108.10983035299967)",PA,PA1,Q047,VALUE,56,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
59,2015,2015,FL,Florida,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,36.3,36.3,,,25.5,38.3,3624,,,,Male,,,"(28.932040377, -81.928960539)",PA,PA1,Q047,VALUE,12,Gender,Male,GEN,MALE
60,2015,2015,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,49.1,49.1,,,24.3,57.1,4931,,,,,,Non-Hispanic White,"(39.766910452, -86.149960194)",OWS,OWS1,Q037,VALUE,18,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
61,2017,2017,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,54.8,54.8,,,20.9,58.6,1388,,,Some college or technical school,,,,"(40.485010283, -88.997710178)",OWS,OWS1,Q037,VALUE,17,Education,Some college or technical school,EDU,EDUCOTEC
62,2011,2011,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.6,40.6,,,34.6,42.7,1500,,45 - 54,,,,,"(32.745510099, -89.538030825)",OWS,OWS1,Q037,VALUE,28,Age (years),45 - 54,AGEYR,AGEYR4554
63,2019,2019,MD,Maryland,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,20.3,20.3,,,20.1,20.3,3791,,,High school graduate,,,,"(39.29058096400047, -76.60926011099963)",FV,FV1,Q018,VALUE,24,Education,High school graduate,EDU,EDUHSGRAD
64,2017,2017,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,53.6,53.6,,,47.5,58.3,2503,,,,Male,,,"(32.840571122, -86.631860762)",PA,PA1,Q047,VALUE,1,Gender,Male,GEN,MALE
65,2015,2015,VA,Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,46.4,46.4,,,37.6,57.4,1409,,45 - 54,,,,,"(37.542680674, -78.457890463)",PA,PA1,Q043,VALUE,51,Age (years),45 - 54,AGEYR,AGEYR4554
66,2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,53.5,53.5,,,30.3,55.3,401,,,,,"Less than $15,000",,"(41.708280193, -71.522470314)",PA,PA1,Q046,VALUE,44,Income,"Less than $15,000",INC,INCLESS15
67,2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,30.3,30.3,,,29.9,42.9,744,,55 - 64,,,,,"(64.845079957001, -147.722059036)",PA,PA1,Q044,VALUE,2,Age (years),55 - 64,AGEYR,AGEYR5564
68,2017,2017,GA,Georgia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,39.5,39.5,,,31.3,48.4,2953,,,,Female,,,"(32.839681093, -83.627580346)",FV,FV1,Q019,VALUE,13,Gender,Female,GEN,FEMALE
69,2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.4,33.4,,,28.6,33.8,3814,,,,Female,,,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q037,VALUE,18,Gender,Female,GEN,FEMALE
70,2016,2016,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.5,40.5,,,27,58.2,923,,55 - 64,,,,,"(40.485010283, -88.997710178)",OWS,OWS1,Q036,VALUE,17,Age (years),55 - 64,AGEYR,AGEYR5564
71,2013,2013,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.2,36.2,,,32.8,41,2215,,55 - 64,,,,,"(39.766910452, -86.149960194)",OWS,OWS1,Q036,VALUE,18,Age (years),55 - 64,AGEYR,AGEYR5564
72,2021,2021,NV,Nevada,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,30.8,30.8,,,21.7,31.9,869,,,,,Data not reported,,"(39.493240390000494, -117.07184056399967)",FV,FV1,Q018,VALUE,32,Income,Data not reported,INC,INCNR
